For Emission Probabilities:
P( X(t) | E(t) )
P( a | a ) = 0.7948717948717948
P( b | a ) = 0.00010094891984655764
P( c | a ) = 0.00010094891984655764
P( d | a ) = 0.00010094891984655764
P( e | a ) = 0.00010094891984655764
P( f | a ) = 0.00010094891984655764
P( g | a ) = 0.00010094891984655764
P( h | a ) = 0.00010094891984655764
P( i | a ) = 0.00010094891984655764
P( j | a ) = 0.00010094891984655764
P( k | a ) = 0.00010094891984655764
P( l | a ) = 0.00010094891984655764
P( m | a ) = 0.00010094891984655764
P( n | a ) = 0.00010094891984655764
P( o | a ) = 0.00010094891984655764
P( p | a ) = 0.00010094891984655764
P( q | a ) = 0.06824146981627296
P( r | a ) = 0.00010094891984655764
P( s | a ) = 0.06884716333535232
P( t | a ) = 0.00010094891984655764
P( u | a ) = 0.00010094891984655764
P( v | a ) = 0.00010094891984655764
P( w | a ) = 0.00010094891984655764
P( x | a ) = 0.00010094891984655764
P( y | a ) = 0.00010094891984655764
P( z | a ) = 0.06581869573995558
P( a | b ) = 0.0005068423720223011
P( b | b ) = 0.7992904206791688
P( c | b ) = 0.0005068423720223011
P( d | b ) = 0.0005068423720223011
P( e | b ) = 0.0005068423720223011
P( f | b ) = 0.0005068423720223011
P( g | b ) = 0.046122655854029394
P( h | b ) = 0.04358844399391789
P( i | b ) = 0.0005068423720223011
P( j | b ) = 0.0005068423720223011
P( k | b ) = 0.0005068423720223011
P( l | b ) = 0.0005068423720223011
P( m | b ) = 0.0005068423720223011
P( n | b ) = 0.05321844906234161
P( o | b ) = 0.0005068423720223011
P( p | b ) = 0.0005068423720223011
P( q | b ) = 0.0005068423720223011
P( r | b ) = 0.0005068423720223011
P( s | b ) = 0.0005068423720223011
P( t | b ) = 0.0005068423720223011
P( u | b ) = 0.0005068423720223011
P( v | b ) = 0.047136340598074
P( w | b ) = 0.0005068423720223011
P( x | b ) = 0.0005068423720223011
P( y | b ) = 0.0005068423720223011
P( z | b ) = 0.0005068423720223011
P( a | c ) = 0.00022040996253030638
P( b | c ) = 0.00022040996253030638
P( c | c ) = 0.7936962750716332
P( d | c ) = 0.0449636323561825
P( e | c ) = 0.00022040996253030638
P( f | c ) = 0.05289839100727353
P( g | c ) = 0.00022040996253030638
P( h | c ) = 0.00022040996253030638
P( i | c ) = 0.00022040996253030638
P( j | c ) = 0.00022040996253030638
P( k | c ) = 0.00022040996253030638
P( l | c ) = 0.00022040996253030638
P( m | c ) = 0.00022040996253030638
P( n | c ) = 0.00022040996253030638
P( o | c ) = 0.00022040996253030638
P( p | c ) = 0.00022040996253030638
P( q | c ) = 0.00022040996253030638
P( r | c ) = 0.00022040996253030638
P( s | c ) = 0.00022040996253030638
P( t | c ) = 0.00022040996253030638
P( u | c ) = 0.00022040996253030638
P( v | c ) = 0.05378003085739475
P( w | c ) = 0.00022040996253030638
P( x | c ) = 0.05003306149437955
P( y | c ) = 0.00022040996253030638
P( z | c ) = 0.00022040996253030638
P( a | d ) = 0.00023304591004427873
P( b | d ) = 0.00023304591004427873
P( c | d ) = 0.041016080167793054
P( d | d ) = 0.8012118387322302
P( e | d ) = 0.0405499883477045
P( f | d ) = 0.03379165695642041
P( g | d ) = 0.00023304591004427873
P( h | d ) = 0.00023304591004427873
P( i | d ) = 0.00023304591004427873
P( j | d ) = 0.00023304591004427873
P( k | d ) = 0.00023304591004427873
P( l | d ) = 0.00023304591004427873
P( m | d ) = 0.00023304591004427873
